אוהב,שונא
אופטימי,פסימי
אושר,צער
אחד,הרבה
אחורה,קדימה
אחורה/לאחור,קדימה
אחר כך,קודם
אחרון,ראשון
אחרי,לפני
איטי,זריז
אישה,איש
אמת,שקר
אסור,מותר
אף פעם,תמיד
ארוך,קצר
ארץ,שמים
בוודאי/בטח,אולי
בורח,חוזר
בחורה,בחור
בטוח,מסופק
ביוקר,בזול
בעיה,פתרון
בערך,בדיוק
בריא,חולה
בשקט,ברעש
גבוה,נמוך
גברת,אדון
גדול,קטן
דומים,שונים
דק,עבה
הגון,נכלולי
הדור,פשוט
החוצה,פנימה
המשך,הפסקה
הרבה,קצת
הרימה,הורידה
התעצב,שמח
וותיק,עולה חדש
ותיק,חדש
זוהר,עמום
זמני,קבוע
זקן,צעיר
חד,קהה
חולה,בריא
חורף,קיץ
חושך,אור
חי,מת
חיסרון,יתרון
חכם,טיפש
חלק,מחוספס
חלש,חזק
חם,קר
חשוך,אור
טהור,טמא
טוב,רע
טיפש,חכם
יבש,לח
יבש,רטוב
יורד,עולה
יושב,עומד
יחד,לבד
יחיד,רבים
ייאוש,תקווה
ילדה,ילד
ימין,שמאל
יפה,מכוער
יציב,רעוע
יקר,זול
יש,אין
ישן,חדש
ישנים,ערים
ישר,עקום
כבד,קל
כהה,בהיר
כולם,אף אחד
כותב,מוחק
כישלון,הצלחה
כלה,חתן
לאט,מהר
לאכול,לצום
לבן,שחור
לבנות,להרוס
לברך,לקלל
לדבר,לשתוק
להוט,אדיש
להיכנס,לצאת
להצחיק,להעציב/לצער
להתרכז,להתפזר
לזכור,לשכוח
לחפש,למצוא
לילה,יום
ללא/בלי,עם
ללכת,לבוא
למטה,למעלה
למעלה,למטה
לעבוד,להתבטל
לעלות,לרדת
לעמוד,לשבת
לענות,לשאול
לפרוח,לנבול
לצחוק,לבכות
לקחת,לתת
לשתול,לעקור
לתקן,לקלקל
מאוחר,מוקדם
מבריק,מט
מדבר,שותק
מדרכה,כביש
מהר,לאט
מואר,חשוך
מוחלט,יחסי
מותר,אסור
מחר,אתמול
מכוער,יפה
מלוכלך,נקי
מלחמה,שלום
מספיק/די,עוד
מעט,הרבה
מערב,מזרח
מצוי,נדיר
מציאה,אבידה
מציאות,דמיון
מקומט,מגוהץ
מר/חמוץ,מתוק
מרכז,שוליים
משעמם,מעניין
מת,חי
מתובל/טעים,תפל
מתוח,משוחרר
מתוק,חריף
מתוק,מר
מתחת,מעל
מתקדם,נסוג
מתקן,הורס
נגד,בעד
נותן,לוקח
ניצחון,כישלון
נכדה,סבתא
נמוך,גבוה
נעמד,התיישב
נקבה,זכר
נשוי,רווק
סב,נכד
סגור,פתוח
סוער,רגוע
סוף,התחלה
סקרן,אדיש
עדכני,פרימיטיבי
עוד לא,כבר
עונה,שואל
עושר,עוני
עיוור,פיכח
עיקר,טפל
עני,עשיר
עצב,שמחה
עצוב,שמח
עצובה,שמחה
עצלן,חרוץ
עקום,ישר
ער,ישן
ערב,בוקר
עתיק,חדש
פורח,נובל
פחד,אומץ
פחות,יותר
פחות מ,יותר מ
פתח,סגר
פתיחה,סיום
צדיק,רשע
צוחק,בוכה
צפון,דרום
צר,רחב
קדימה,אחורה
קונה,מוכר
קטן,גדול
קל,כבד
קנה,מכר
קפוא,רותח
קצר,ארוך
קר,חם
קרוב,רחוק
קשה,קל
ראש,זנב
רגוע,עצבני
רגיל,מיוחד
רדוד,עמוק
רואה,עיוור
רזה,שמן
רחוק,קרוב
ריק,מלא
רך,קשה
רך/קל,קשה
רע,טוב
רעב,שבע
רעב,שובע
רעש,דממה
רעש,שקט
רשות,חובה
רשע,צדיק
שאלה,תשובה
שבור,שלם
שוכב,עומד
שותק,מדבר
שחור,לבן
שלום,מחלוקת
שלום,מלחמה
שם,כאן
שם,פה
שמאלה,ימינה
שמח,עצוב
שמן,רזה
שנאה,אהבה
שקוף,אטום
שקט,רעש
שקר,אמת
תומך,מכשיל
תלמיד,מורה
תפוח,צמוק
תפל,מלוח
תשובה,שאלה
